5;33554432;25;2;0.0785592;2063689
5;67108864;26;2;0.233494;3957809
5;134217728;27;2;0.559831;7603553
5;268435456;28;2;1.15645;14630843
5;536870912;29;2;2.55138;28192750
5;1073741824;30;2;5.26722;54400028
5;2147483648;31;2;10.3527;105097565
5;4294967296;32;2;23.243;203280221
6;33554432;25;2;0.069546;2063689
6;67108864;26;2;0.198711;3957809
6;134217728;27;2;0.5234;7603553
6;268435456;28;2;1.12097;14630843
6;536870912;29;2;2.3313;28192750
6;1073741824;30;2;4.91884;54400028
6;2147483648;31;2;10.0563;105097565
6;4294967296;32;2;21.2196;203280221
7;33554432;25;2;0.036979;2063689
7;67108864;26;2;0.170304;3957809
7;134217728;27;2;0.410179;7603553
7;268435456;28;2;0.97673;14630843
7;536870912;29;2;2.07316;28192750
7;1073741824;30;2;4.19784;54400028
7;2147483648;31;2;8.89502;105097565
7;4294967296;32;2;17.7587;203280221
8;33554432;25;2;0.033222;2063689
8;67108864;26;2;0.15229;3957809
8;134217728;27;2;0.391748;7603553
8;268435456;28;2;0.926862;14630843
8;536870912;29;2;1.92563;28192750
8;1073741824;30;2;4.01418;54400028
8;2147483648;31;2;9.6514;105097565
8;4294967296;32;2;17.5967;203280221
2;33554432;25;3;0.210209;2063689
2;67108864;26;3;0.46143;3957809
2;134217728;27;3;0.997506;7603553
2;268435456;28;3;2.09884;14630843
2;536870912;29;3;4.3218;28192750
2;1073741824;30;3;9.11397;54400028
2;2147483648;31;3;18.7729;105097565
2;4294967296;32;3;38.4797;203280221
3;33554432;25;3;0.12987;2063689
3;67108864;26;3;0.322414;3957809
3;134217728;27;3;0.71226;7603553
3;268435456;28;3;1.50794;14630843
3;536870912;29;3;3.16525;28192750
3;1073741824;30;3;6.81197;54400028
3;2147483648;31;3;13.4693;105097565
3;4294967296;32;3;29.176;203280221
4;33554432;25;3;0.135081;2063689
4;67108864;26;3;0.296181;3957809
4;134217728;27;3;0.695935;7603553
4;268435456;28;3;1.50776;14630843
4;536870912;29;3;3.11297;28192750
4;1073741824;30;3;6.38557;54400028
4;2147483648;31;3;13.1607;105097565
4;4294967296;32;3;27.058;203280221
5;33554432;25;3;0.079216;2063689
5;67108864;26;3;0.232509;3957809
5;134217728;27;3;0.547772;7603553
5;268435456;28;3;1.24343;14630843
5;536870912;29;3;2.6014;28192750
5;1073741824;30;3;5.38718;54400028
5;2147483648;31;3;11.0918;105097565
5;4294967296;32;3;22.7247;203280221
6;33554432;25;3;0.077636;2063689
6;67108864;26;3;0.215591;3957809
6;134217728;27;3;0.529355;7603553
6;268435456;28;3;1.15616;14630843
6;536870912;29;3;2.41197;28192750
6;1073741824;30;3;5.04911;54400028
6;2147483648;31;3;10.3265;105097565
6;4294967296;32;3;21.0967;203280221
7;33554432;25;3;0.0411561;2063689
7;67108864;26;3;0.197915;3957809
7;134217728;27;3;0.459341;7603553
7;268435456;28;3;1.00448;14630843
7;536870912;29;3;2.11432;28192750
7;1073741824;30;3;4.38393;54400028
7;2147483648;31;3;9.00554;105097565
7;4294967296;32;3;18.3884;203280221
8;33554432;25;3;0.0542178;2063689
8;67108864;26;3;0.149759;3957809
8;134217728;27;3;0.415236;7603553
8;268435456;28;3;0.946196;14630843
8;536870912;29;3;1.96642;28192750
8;1073741824;30;3;4.10079;54400028
8;2147483648;31;3;8.41547;105097565
8;4294967296;32;3;17.1496;203280221
2;33554432;25;4;0.229834;2063689
2;67108864;26;4;0.526552;3957809
2;134217728;27;4;1.14375;7603553
2;268435456;28;4;2.37427;14630843
2;536870912;29;4;5.09281;28192750
2;1073741824;30;4;9.33107;54400028
2;2147483648;31;4;18.8867;105097565
2;4294967296;32;4;38.7451;203280221
3;33554432;25;4;0.106127;2063689
3;67108864;26;4;0.325385;3957809
3;134217728;27;4;0.701323;7603553
3;268435456;28;4;1.53459;14630843
3;536870912;29;4;3.26902;28192750
3;1073741824;30;4;6.67293;54400028
3;2147483648;31;4;13.9021;105097565
3;4294967296;32;4;28.3417;203280221
4;33554432;25;4;0.0944831;2063689
4;67108864;26;4;0.307123;3957809
4;134217728;27;4;0.703218;7603553
4;268435456;28;4;1.48437;14630843
4;536870912;29;4;3.07521;28192750
4;1073741824;30;4;6.38607;54400028
4;2147483648;31;4;13.2293;105097565
