// 2 Computers test

2;33554432;25;0.10914;2063689
2;67108864;26;0.28837;3957809
2;134217728;27;0.640213;7603553
2;268435456;28;1.4132;14630843
2;536870912;29;2.89509;28192750
2;1073741824;30;6.00724;54400028
2;2147483648;31;12.3961;105097565
2;4294967296;32;25.5439;203280221

4;33554432;25;0.106478;2063689
4;67108864;26;0.286142;3957809
4;134217728;27;0.657719;7603553
4;268435456;28;1.60467;14630843
4;536870912;29;2.94557;28192750
4;1073741824;30;6.16719;54400028
4;2147483648;31;15.9669;105097565
4;4294967296;32;25.8417;203280221

8;33554432;25;0.129219;2063689
8;67108864;26;0.32082;3957809
8;134217728;27;0.764016;7603553
8;268435456;28;1.6237;14630843
8;536870912;29;3.41399;28192750
8;1073741824;30;7.29397;54400028
8;2147483648;31;14.7661;105097565
8;4294967296;32;30.6274;203280221

// 4 Computers test

4;33554432;25;0.0633991;2063689
4;67108864;26;0.150983;3957809
4;134217728;27;0.40571;7603553
4;268435456;28;0.903589;14630843
4;536870912;29;1.94731;28192750
4;1073741824;30;4.07307;54400028
4;2147483648;31;8.35671;105097565
4;4294967296;32;17.2572;203280221

8;33554432;25;0.0443001;2063689
8;67108864;26;0.143944;3957809
8;134217728;27;0.38301;7603553
8;268435456;28;0.872365;14630843
8;536870912;29;2.26499;28192750
8;1073741824;30;4.48828;54400028
8;2147483648;31;8.13814;105097565
8;4294967296;32;16.4781;203280221

16;33554432;25;0.0880761;2063689
16;67108864;26;0.148779;3957809
16;134217728;27;0.432382;7603553
16;268435456;28;1.01316;14630843
16;536870912;29;2.16333;28192750
16;1073741824;30;4.48464;54400028
16;2147483648;31;9.07238;105097565
16;4294967296;32;18.1757;203280221

//test 2 computers 16 processes
16;33554432;25;0.167079;2063689
16;67108864;26;0.392306;3957809
16;134217728;27;0.900545;7603553
16;268435456;28;1.93353;14630843
16;536870912;29;4.05868;28192750
16;1073741824;30;8.38951;54400028
16;2147483648;31;17.1974;105097565
16;4294967296;32;35.3788;203280221
